"","ID","Northing","Easting","Elev","Code","ConNum"
"138",390,15376787.77,1075963.717,575.279,"CB",""
"139",265,15372112.87,1067307.05,579.032,"CB","200348"
"140",44,15374026.96,1070864.767,581.029,"CB","601198"
"141",28,15373456.84,1069943.257,578.435,"STMH","302502"
"142",378,15371667.63,1066756.85,584.704,"CB","200584"
"143",21,15375458.3,1073277.312,574.105,"ELMH",""
"144",284,15371997.75,1066939.24,585.1,"CB","200380"
"145",100,15372386.32,1067808.62,585.192,"STMH","200224"
"146",405,15377080.65,1076332.978,574.762,"CB",""
"147",56,15376158.59,1074697.96,575.135,"ELMH","200819"
"148",65,15375156.86,1072575.745,580.239,"CB","302219"
"149",316,15373179.8,1069558.33,583.235,"CB","200462"
"150",306,15372936.02,1068930.002,579.736,"CB","200438"
"151",322,15372942.1,1068924.73,579.767,"CB","200474"
"152",16,15374391.79,1071595.572,571.325,"CB","101180"
"153",376,15372341.89,1067589.8,582.113,"CB","200563"
"154",7,15373461.83,1069985.845,578.198,"ELMH",""
"155",160,15374675.51,1072000.935,576.162,"CB","101549"
"156",45,15371800.88,1066788.88,586.55,"ELMH","200106"
"157",112,15372663.6,1068552.253,582.88,"STMH","200277"
"158",100,15375458.37,1073400.5,573.497,"CB","101840"
"159",14,15373358.17,1069766.589,580.331,"CB","100855"
"160",66,15373515.94,1070114.468,577.696,"STMH","103049"
"161",349,15372657.16,1068192.64,585.305,"CB","200517"
"162",16,15374051.53,1071076.991,577.423,"STMH","601050"
"163",47,15374402.09,1071481.945,571.773,"CB","601233"
"164",331,15372374.48,1067802.81,584.741,"CB","200487"
"165",148,15374451.29,1071555.125,571.44,"CB","601223"
"166",139,15375460.17,1073399.617,573.43,"CB","101840"
"167",315,15373177.94,1069559.44,583.261,"CB","200461"
"168",44,15375662.07,1073683.19,576.769,"STMH","102114"
"169",373,15372806.66,1068672.79,579.81,"CB","200551"
"170",350,15372658.81,1068191.7,585.31,"CB","200518"
"171",392,15376793.15,1075962.057,575.574,"CB",""
"172",338,15372487.6,1067821.54,588.58,"CB","200495"
"173",113,15371519.06,1066392.37,597.415,"STMH","200582"
"174",103,15372585.12,1068240.8,585.656,"STMH","200242"
"175",56,15373771.48,1070395.935,579.082,"CB","302578"
"176",107,15372700.09,1068468.228,583.82,"STMH","200259"
"177",348,15372584.24,1068218.12,585.598,"CB","200510"
"178",384,15372878.33,1068964.615,579.864,"CB",""
"179",108,15372856.11,1068808.96,579.45,"STMH","200271"
"180",319,15373243.11,1069526.257,583.126,"CB","200465"
"181",92,15375230.18,1072685.956,579.358,"CB","302124"
"182",283,15371852.74,1066711.05,589.612,"CB","200379"
"183",232,15376603.89,1075791.96,572.906,"CB","200689"
"184",21,15374080.48,1071274.668,576.571,"CB","101230"
"185",115,15372280.82,1067635.55,582.479,"STMH","200585"
"186",336,15372588.89,1068023.24,585.844,"CB","200492"
"187",271,15372045.02,1067304.84,578.07,"CB","200354"
"188",407,15373929.31,1071192.772,587.777,"CB","850096"
"189",381,15374539.95,1071794.399,573.223,"CB","302335"
"190",165,15375814.96,1073970.041,580.505,"CB","600805"
"191",101,15372516.73,1068264.32,585.686,"STMH","200239"
"192",387,15371937.47,1066977.934,583.226,"CB",""
"193",3,15373871.77,1070925.846,580.711,"CB","101013"
"194",317,15373237.59,1069529.45,583.137,"CB","200463"
"195",157,15374398.08,1071592.97,571.414,"CB","601272"
"196",59,15371680.11,1066769.919,584.557,"ELMH",""
"197",74,15375348.47,1073027.586,575.612,"CB","302173"
"198",13,15373622.94,1070473.043,579.159,"CB","100943"
"199",14,15376026.19,1074399.761,580.746,"STMH","600768"
"200",360,15372892.3,1068824.54,579.041,"CB","200538"
"201",16,15375197.74,1072545.028,583.639,"ELMH",""
"202",275,15372199.68,1067320.23,579.59,"CB","200369"
"203",133,15374474.65,1071827.301,573.362,"CB","101307"
"204",12,15376532.63,1075668.54,574.44,"MH","200770"
"205",48,15371772.41,1066879.23,586.421,"ELMH","200025"
"206",243,15371639.08,1066600.981,590.38,"CB","200318"
"207",141,15375735.14,1074008.8,579.966,"CB","101936"
"208",58,15371431.81,1066414.402,597.858,"ELMH",""
"209",63,15375991.69,1074346.827,581.575,"STMH","102046"
"210",1,15373834.31,1070713.197,580.763,"STMH","101079"
"211",40,15372262.04,1067609.429,582.22,"ELMH","200210"
"212",343,15372464.93,1068132.82,586.584,"CB","200505"
"213",16,15376629.78,1075616.19,572.88,"MH","200782"
"214",303,15373565.91,1070158.35,577.559,"CB","200435"
"215",105,15374922.8,1072453.457,580.587,"CB","101512"
"216",2,15374376.82,1071587.213,571.635,"ELMH",""
"217",8,15374352.03,1071653.692,571.524,"STMH","101280"
"218",117,15375617.88,1073769.222,577.167,"CB","101903"
"219",30,15377117.36,1076430.57,574.061,"MH",""
"220",327,15372320.3,1067917.39,587.74,"CB","200481"
"221",73,15374366.3,1071587.326,571.897,"STMH","1006"
"222",32,15373929.52,1071203.412,588.191,"MH","10774"
"223",367,15372811.85,1068827.82,579.133,"CB","200545"
"224",85,15375526.86,1073225.259,574.246,"CB","302023"
"225",84,15371693.46,1066542.88,592.695,"STMH","200105"
"226",22,15375252.57,1072878.514,577.757,"ELMH",""
"227",22,15373596.56,1070239.677,577.892,"CB","100917"
"228",352,15372700.08,1068447.99,583.96,"CB","200520"
"229",31,15373967.67,1070770.88,580.24,"ELMH",""
"230",47,15372160.49,1067407.39,579.454,"ELMH","200046"
"231",117,15376341.73,1074925.59,570.244,"STMH","200751"
"232",9,15373930.52,1070910.214,579.403,"ELMH",""
"233",92,15373258.65,1069519.01,583.586,"STMH","200184"
"234",169,15374335.59,1071635.538,571.412,"CB","850097"
"235",11,15373811.9,1070679.816,581.017,"ELMH",""
"236",397,15376950.72,1076069.038,577.989,"CB",""
"237",7,15373355.37,1069778.347,580.587,"STMH","100856"
"238",25,15376861.62,1075926.639,575.332,"MH",""
"239",335,15372567.68,1068036.9,586.48,"CB","200491"
"240",351,15372774.35,1068419.93,583.538,"CB","200519"
"241",261,15371719.08,1066828.41,584.16,"CB","200337"
"242",41,15374015.14,1070873.556,581.678,"CB","601197"
"243",99,15372501.03,1068072.75,586.621,"STMH","200223"
"244",311,15373115.98,1069120.421,582.416,"CB","200455"
"245",156,15374335.22,1071519.07,571.781,"CB","101174"
"246",27,15373980.63,1071121.207,578.404,"CB","101122"
"247",19,15373930.56,1070894.648,579.256,"CB","101096"
"248",49,15375683.37,1073738.818,577.666,"STMH","102104"
"249",71,15374194.26,1071344.363,574.503,"STMH","1004"
"250",285,15371999.34,1066938.15,585.113,"CB","200381"
"251",12,15373688.56,1070439.926,579.626,"STMH","101055"
"252",130,15374082.13,1071273.541,576.546,"CB","101230"
"253",53,15371625.32,1066591.25,590.8,"ELMH","200008"
"254",28,15375565.1,1073494.912,574.405,"ELMH",""
"255",14,15376127.12,1074425.447,579.736,"ELMH",""
"256",80,15372172.63,1067435.61,579.89,"STMH","200047"
"257",280,15371791.54,1066762.95,586.591,"CB","200376"
"258",167,15375995.24,1074160.378,582.232,"CB","85602"
"259",154,15373928.8,1070895.606,579.268,"CB","101096"
"260",88,15374830.95,1072209.019,578.373,"CB","302387"
"261",1,15373740.38,1070720.908,580.814,"ELMH",""
"262",163,15375692.76,1073721.453,577.233,"CB","600827"
"263",120,15375273.71,1073071.853,574.949,"CB","101791"
"264",70,15374886.85,1072171.468,578.517,"CB","302281"
"265",76,15373510.41,1069906.432,578.491,"CB","200415"
"266",61,15374539.95,1071794.399,573.198,"CB","302335"
"267",81,15375525.28,1073225.98,574.269,"CB","302023"
"268",95,15372289.69,1067617.25,582.51,"STMH","200209"
"269",346,15372517.72,1068279.09,585.484,"CB","200508"
"270",29,15376957.41,1076282.948,577.394,"MH",""
"271",5,15373522.52,1070104.85,577.462,"STMH","100897"
"272",35,15373700.09,1070424.569,579.327,"STMH","302628"
"273",21,15375699.25,1073718.803,577.504,"STMH","600829"
"274",334,15372569.78,1068024.11,586.315,"CB","200490"
"275",86,15372086.71,1067199.62,579.821,"STMH","200109"
"276",286,15372118.31,1067462.3,579.505,"CB","200384"
"277",123,15375342.71,1073031.674,576.174,"CB","101671"
"278",290,15373669.15,1070200.97,577.755,"CB","200389"
"279",114,15373213.33,1069457.58,583.879,"STMH","200583"
"280",49,15371749.41,1066837.16,584.79,"ELMH","200024"
"281",73,15375319.11,1072790.815,578.86,"CB","302073"
"282",168,15375225.58,1072819.241,578.102,"CB","85638"
"283",15,15375599.98,1073518.119,574.817,"STMH","600846"
"284",298,15373510.41,1069906.43,578.49,"CB","200415"
"285",11,15373527.37,1070109.849,577.365,"CB","100898"
"286",96,15372269.01,1067627.6,582.6,"STMH","200211"
"287",114,15375511.11,1073378.92,573.594,"CB","101715"
"288",74,15374328.48,1071535.472,572.245,"STMH","1005"
"289",109,15375159.82,1072864.953,576.776,"CB","101802"
"290",279,15371787.92,1066766.19,586.82,"CB","200374"
"291",21,15376043.74,1074465.59,579.77,"MH","200826"
"292",272,15372040.95,1067299.17,578.217,"CB","200355"
"293",24,15374861.54,1072272.8,580.169,"ELMH",""
"294",296,15373428.56,1069740.08,580.317,"CB","200408"
"295",22,15371948.65,1066995.103,582.916,"MH",""
"296",102,15372575.31,1068234.19,585.924,"STMH","200240"
"297",30,15374750.15,1072261.746,582.713,"CB","600703"
"298",59,15373772.89,1070395.062,579.059,"CB","302578"
"299",104,15372711.36,1068451.08,584.129,"STMH","200255"
"300",337,15372504.07,1067814.84,588.243,"CB","200494"
"301",329,15372312.04,1067845.84,585.004,"CB","200485"
"302",153,15373525.59,1070110.751,577.419,"CB","100898"
"303",75,15375317.55,1072791.715,578.857,"CB","302073"
"304",8,15373578.58,1070217.116,577.948,"ELMH",""
"305",4,15374130.17,1071240.606,575.583,"STMH","101138"
"306",146,15375654.13,1073491.518,574.446,"CB","600874"
"307",56,15375222.37,1072830.051,578.245,"STMH","101647"
"308",396,15376913.71,1075905.825,581.685,"CB",""
"309",118,15375111.96,1072632.579,579.826,"CB","101628"
"310",398,15376970.54,1076060.717,577.632,"CB",""
"311",368,15372813.95,1068826.84,579.099,"CB","200546"
"312",101,15374621.18,1072040.979,576.129,"CB","101444"
"313",9,15376388.69,1075165.27,567.44,"MH","200755"
