"","ID","Northing","Easting","Elev","Code","ConNum"
"1",24,15373409.37,1070019.083,577.948,"CB","100818"
"2",77,15374680.94,1071996.637,575.768,"CB","302361"
"3",84,15375244.23,1072835.942,577.285,"CB","302154"
