1,15374284.34,1071564.247,571.65,CB
2,15374043.07,1071091.74,576.876,CB
3,15373871.77,1070925.846,580.711,CB
4,15374339.56,1071642.461,571.396,CB
5,15374531.14,1071793.486,573.357,CB
6,15373726.4,1070703.747,580.547,CB
7,15373504.39,1070066.101,577.525,CB
8,15373471.3,1070138.976,577.344,CB
9,15373296.65,1069808.237,583.251,CB
10,15374142.83,1071244.39,575.087,CB
11,15373527.37,1070109.849,577.365,CB
12,15373746.99,1070695.759,581.065,CB
13,15373622.94,1070473.043,579.159,CB
14,15373358.17,1069766.589,580.331,CB
15,15374473.02,1071828.461,573.32,CB
16,15374391.79,1071595.572,571.325,CB
17,15374467.84,1071817.061,573.212,CB
18,15374394.57,1071601.267,571.354,CB
19,15373930.56,1070894.648,579.256,CB
20,15374336.85,1071517.912,571.781,CB
21,15374080.48,1071274.668,576.571,CB
22,15373596.56,1070239.677,577.892,CB
23,15373470.06,1070131.547,577.336,CB
24,15373409.37,1070019.083,577.948,CB
25,15373821.81,1070924.053,585.378,CB
26,15373834.81,1070917.909,585.58,CB
27,15373980.63,1071121.207,578.404,CB
28,15373695.88,1070436.235,579.269,CB
29,15374830.23,1072344.507,581.174,CB
30,15374750.15,1072261.746,582.713,CB
31,15373985.45,1070790.678,580.155,CB
32,15375885.23,1073933.524,580.357,CB
33,15375763.49,1073688.243,576.918,CB
34,15375590.91,1073519.18,574.535,CB
35,15374400.92,1071600.173,571.372,CB
36,15374047.2,1071085.026,577.235,CB
37,15374396.45,1071594.093,571.384,CB
38,15375690.97,1073722.34,577.24,CB
39,15375813.16,1073970.923,580.441,CB
40,15374340.43,1071514.59,571.819,CB
41,15374015.14,1070873.556,581.678,CB
42,15374145.26,1071236.906,575.473,CB
43,15373934.72,1070890.731,579.477,CB
44,15374026.96,1070864.767,581.029,CB
45,15374199.38,1071194.056,574.156,CB
46,15373987.46,1070862.745,578.446,CB
47,15374402.09,1071481.945,571.773,CB
48,15374455.63,1071559.942,571.406,CB
49,15374102.66,1071044.466,575.928,CB
50,15376149.5,1074453.442,579.405,CB
51,15374452.93,1071553.978,571.436,CB
52,15373969.17,1070802.949,580.961,CB
53,15376153.04,1074459.1,579.422,CB
54,15376135.19,1074469.789,580.24,CB
55,15375655.91,1073490.598,574.484,CB
56,15373771.48,1070395.935,579.082,CB
57,15374538.58,1071795.403,573.199,CB
58,15374603.23,1071768.766,573.344,CB
